UltimateParentAccountID,Revenue,Employees,GlobalRegion,Industry,NAICSCode,NAICSCodeDescription,FirstPurchase,HoldingCompany
0012J00002OW3GOQA1,6,8,Latin America,Non-Profits,813410,Civic and Social Organizations ,10/2/2020,FALSE
0012J00002OW3HXQA1,2,6,Latin America,Consumer Products,311919,Other Snack Food Manufacturing ,9/8/2009,FALSE
0012J00002OW44VQAT,6,8,Latin America,Banking,551111,Offices of Bank Holding Companies ,6/24/2011,FALSE
0012J00002OWGgNQAX,5,8,Latin America,Professional & Business Services,551112,Offices of Other Holding Companies ,6/14/2018,FALSE
0012J00002OWVW8QAP,6,1,EMEA,Professional & Business Services,561311,Employment Placement Agencies ,6/19/2020,FALSE
0012J00002PLcexQAD,5,5,Latin America,Oil & Gas,211120,NA,5/31/2019,FALSE
0012J00002PLckTQAT,4,7,Latin America,Insurance,NA,NA,10/2/2017,FALSE
0012J00002PLvSJQA1,1,3,North America,Utilities,221310,Water Supply and Irrigation Systems ,6/24/2019,FALSE
0012J00002PLZArQAP,2,6,Latin America,Government,NA,NA,8/25/2014,FALSE
0012J00002PLZsxQAH,3,1,Latin America,Banking,522110,Commercial Banking ,10/9/2020,FALSE
0012J00002PMgyqQAD,3,7,APAC,Professional & Business Services,551112,Offices of Other Holding Companies ,9/30/2017,FALSE
0012J00002PMR2wQAH,6,7,APAC,Government,923120,Administration of Public Health Programs ,12/11/2018,FALSE
0012J00002Q3daoQAB,2,5,North America,Consumer Products,312111,Soft Drink Manufacturing ,1/4/2013,FALSE
0012J00002Q3QDbQAN,2,4,North America,Life Sciences,325412,Pharmaceutical Preparation Manufacturing ,12/9/2020,FALSE
0012J00002Qj6ypQAB,2,6,North America,Banking,522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities ",1/9/2009,FALSE
0012J00002QjmWkQAJ,2,3,North America,Education,611310,"Colleges, Universities, and Professional Schools ",12/20/2012,FALSE
0012J00002QjxIBQAZ,2,4,North America,Banking,523930,Investment Advice ,4/29/2011,FALSE
0012J00002Qjyu3QAB,2,3,EMEA,Banking,525990,Other Financial Vehicles ,2/19/2020,FALSE
0012J00002QjyZoQAJ,1,3,North America,Automotive,532120,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing ",10/27/2016,FALSE
0012J00002QjzJvQAJ,1,3,North America,Professional & Business Services,551112,Offices of Other Holding Companies ,12/22/2017,FALSE
0012J00002QjzlKQAR,6,8,North America,Retail,445110,Supermarkets and Other Grocery (except Convenience) Stores ,3/24/2009,FALSE
0012J00002Qk05jQAB,4,5,EMEA,Professional & Business Services,561499,All Other Business Support Services ,8/14/2019,FALSE
0012J00002Qk0X5QAJ,1,4,APAC,Banking,525910,Open-End Investment Funds ,3/21/2018,FALSE
0012J00002Qk1CrQAJ,3,7,North America,Professional & Business Services,551112,Offices of Other Holding Companies ,12/3/2008,FALSE
0012J00002Qk1R8QAJ,2,4,North America,High Tech,518210,"Data Processing, Hosting, and Related Services",9/24/2013,FALSE
0012J00002Qk2CxQAJ,2,4,APAC,Consumer Products,316210,Footwear Manufacturing ,2/12/2015,FALSE
0012J00002Qk3mHQAR,1,4,North America,Media,511110,Newspaper Publishers ,9/2/2009,FALSE
0012J00002Qk5GSQAZ,1,2,Latin America,Engineering Construction & Operation,541310,Architectural Services,3/23/2017,FALSE
0012J00002Qk5nHQAR,1,4,North America,Manufacturing,327332,Concrete Pipe Manufacturing ,3/19/2019,FALSE
0012J00002Qk6eeQAB,1,6,EMEA,Government,921110,Executive Offices ,11/13/2019,FALSE
0012J00002Qk8VAQAZ,5,8,North America,Banking,522110,Commercial Banking ,9/17/2013,FALSE
0012J00002Qk925QAB,5,5,North America,High Tech,334413,Semiconductor and Related Device Manufacturing ,6/19/2018,FALSE
0012J00002Qk9AbQAJ,4,3,North America,Retail,444110,Home Centers ,7/29/2009,FALSE
0012J00002QkAOzQAN,5,7,North America,High Tech,518210,"Data Processing, Hosting, and Related Services",10/23/2017,FALSE
0012J00002QkauYQAR,5,8,EMEA,Banking,521110,Monetary Authorities-Central Bank,10/4/2011,FALSE
0012J00002QkB7zQAF,3,5,North America,Banking,522110,Commercial Banking ,6/18/2021,FALSE
0012J00002QkBNsQAN,5,8,EMEA,Professional & Business Services,551112,Offices of Other Holding Companies ,2/26/2016,FALSE
0012J00002Qke00QAB,2,4,EMEA,Banking,531210,Offices of Real Estate Agents and Brokers,3/31/2020,FALSE
0012J00002QkEASQA3,1,4,North America,Banking,522110,Commercial Banking ,9/28/2018,FALSE
0012J00002QkG1YQAV,1,4,APAC,Engineering Construction & Operation,541330,Engineering Services,5/7/2021,FALSE
0012J00002Qkg1ZQAR,2,6,North America,Retail,448120,Women's Clothing Stores ,1/23/2015,FALSE
0012J00002QkG5UQAV,1,4,EMEA,Professional & Business Services,812990,All Other Personal Services ,12/9/2020,FALSE
0012J00002QkGErQAN,4,6,North America,Telecommunications,515210,Cable and Other Subscription Programming,10/30/2007,TRUE
0012J00002Qkh2lQAB,1,3,North America,Banking,551111,Offices of Bank Holding Companies ,6/9/2021,FALSE
0012J00002QkHKgQAN,3,5,North America,Retail,454110,NA,6/10/2016,FALSE
0012J00002QkhKSQAZ,1,3,North America,Professional & Business Services,561450,Credit Bureaus,9/24/2009,FALSE
0012J00002QkhTCQAZ,3,6,APAC,Manufacturing,333120,Construction Machinery Manufacturing,1/12/2021,FALSE
0012J00002QkIhgQAF,5,8,EMEA,Professional & Business Services,561499,All Other Business Support Services ,10/31/2007,FALSE
0012J00002QkJ8UQAV,6,8,APAC,Professional & Business Services,551112,Offices of Other Holding Companies ,2/19/2009,FALSE
0012J00002QkjfiQAB,5,8,North America,Retail,452210,NA,8/24/2018,FALSE
0012J00002QkjXjQAJ,5,7,EMEA,Banking,522110,Commercial Banking ,1/29/2013,FALSE
0012J00002QkMykQAF,2,6,North America,Professional & Business Services,561920,Convention and Trade Show Organizers,5/20/2016,FALSE
0012J00002QkNJEQA3,6,7,EMEA,Utilities,221118,Other Electric Power Generation ,10/3/2011,FALSE
0012J00002QknudQAB,5,7,APAC,Manufacturing,333611,Turbine and Turbine Generator Set Units Manufacturing ,6/28/2021,FALSE
0012J00002QkoBjQAJ,3,5,North America,Banking,523120,Securities Brokerage ,10/24/2007,FALSE
0012J00002QkOHiQAN,5,5,North America,Professional & Business Services,551112,Offices of Other Holding Companies ,6/21/2010,FALSE
0012J00002QkoVZQAZ,2,3,North America,High Tech,511210,Software Publishers,6/14/2013,FALSE
0012J00002QkpOoQAJ,1,3,EMEA,Other,NA,NA,11/13/2014,FALSE
0012J00002QkrjFQAR,2,3,North America,Utilities,221210,Natural Gas Distribution ,12/31/2013,FALSE
0012J00002QkrzwQAB,5,4,North America,Insurance,524210,Insurance Agencies and Brokerages ,12/10/2008,FALSE
0012J00002Qks2JQAR,1,3,EMEA,Government,921190,Other General Government Support ,7/6/2017,FALSE
0012J00002Qksg4QAB,2,4,North America,Engineering Construction & Operation,541330,Engineering Services,9/12/2011,FALSE
0012J00002Qkt3RQAR,5,7,EMEA,Banking,523910,Miscellaneous Intermediation ,9/30/2020,FALSE
0012J00002QktwuQAB,4,6,North America,Banking,522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities ",6/29/2015,FALSE
0012J00002QkUr4QAF,3,4,APAC,Wholesale,424690,Other Chemical and Allied Products Merchant Wholesalers ,9/3/2015,FALSE
0012J00002QkuRnQAJ,3,7,North America,Retail,453910,Pet and Pet Supplies Stores ,4/24/2017,FALSE
0012J00002QkxbXQAR,4,6,EMEA,Oil & Gas,213112,Support Activities for Oil and Gas Operations ,12/1/2010,FALSE
0012J00002QkZdEQAV,2,3,North America,Professional & Business Services,551112,Offices of Other Holding Companies ,5/29/2012,FALSE
0012J00002QkZs7QAF,1,5,North America,Professional & Business Services,561421,Telephone Answering Services ,6/24/2016,FALSE
0012J00002Ql0ZjQAJ,1,3,North America,High Tech,518210,"Data Processing, Hosting, and Related Services",6/26/2017,FALSE
0012J00002Ql20CQAR,2,6,North America,Retail,451211,Book Stores ,4/20/2010,FALSE
0012J00002Ql3PqQAJ,4,6,EMEA,Professional & Business Services,551112,Offices of Other Holding Companies ,8/22/2019,FALSE
0012J00002Ql59HQAR,2,3,North America,High Tech,511210,Software Publishers,3/29/2019,FALSE
0012J00002Ql5fQQAR,2,6,North America,Professional & Business Services,551112,Offices of Other Holding Companies ,2/25/2011,FALSE
0012J00002Ql6WgQAJ,1,3,North America,Manufacturing,333318,Other Commercial and Service Industry Machinery Manufacturing ,1/31/2018,FALSE
0012J00002QMne0QAD,4,6,EMEA,Government,921190,Other General Government Support ,12/13/2011,FALSE
0012J00002QMy85QAD,4,5,North America,Professional & Business Services,551112,Offices of Other Holding Companies ,5/6/2011,FALSE
0012J00002QMyEvQAL,6,3,EMEA,Government,921190,Other General Government Support ,3/24/2014,FALSE
0012J00002QN5OAQA1,1,3,North America,Professional & Business Services,811412,Appliance Repair and Maintenance ,6/30/2019,FALSE
0012J00002QNpsHQAT,1,4,North America,Healthcare,621999,All Other Miscellaneous Ambulatory Health Care Services ,9/30/2020,FALSE
0012J00002RzS6eQAF,1,4,North America,High Tech,NA,NA,6/21/2012,FALSE
0012J00002S1PxVQAV,3,6,North America,Healthcare,622110,General Medical and Surgical Hospitals ,12/12/2013,FALSE
0012J00002Sk78NQAR,1,3,Latin America,Professional & Business Services,NA,NA,3/17/2021,TRUE
0012J00002Slf6MQAR,1,4,North America,Engineering Construction & Operation,NA,NA,3/29/2021,FALSE
0012J00002SlRJcQAN,2,6,North America,Retail,NA,NA,8/12/2014,FALSE
0012J00002U8pEdQAJ,1,4,APAC,Government,NA,NA,9/29/2016,FALSE
0012J00002WQFRbQAP,4,6,North America,NA,NA,NA,6/15/2010,FALSE
0015000000ab7wQAAQ,4,6,North America,Utilities,562211,Hazardous Waste Treatment and Disposal ,6/29/2015,FALSE
0015000000aba3MAAQ,2,5,APAC,Government,928120,International Affairs ,8/2/2011,FALSE
0015000000abGNrAAM,2,4,North America,Manufacturing,333111,Farm Machinery and Equipment Manufacturing ,4/10/2014,FALSE
0015000000abHHgAAM,6,7,North America,Healthcare,424210,Drugs and Druggists' Sundries Merchant Wholesalers ,8/5/2011,FALSE
0015000000abik4AAA,5,8,North America,Aerospace & Defense,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing ",3/23/2016,FALSE
0015000000abLSgAAM,1,5,North America,Healthcare,622110,General Medical and Surgical Hospitals ,4/22/2013,FALSE
0015000000abmu6AAA,4,7,North America,Banking,522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities ",9/7/2009,FALSE
0015000000abq5GAAQ,2,4,North America,Education,541715,NA,1/17/2012,FALSE
0015000000abTOlAAM,2,3,North America,Retail,454110,NA,4/27/2012,FALSE
0015000000abwn3AAA,1,3,North America,Hospitality,713110,Amusement and Theme Parks ,12/3/2014,FALSE
0015000000abyIaAAI,3,4,North America,Consumer Products,325612,Polish and Other Sanitation Good Manufacturing ,5/16/2011,FALSE
0015000000abyNdAAI,3,7,North America,Banking,523930,Investment Advice ,3/28/2011,TRUE
0015000000ac0rgAAA,1,4,North America,Healthcare,622110,General Medical and Surgical Hospitals ,6/22/2015,FALSE
0015000000ac4C7AAI,2,3,North America,Professional & Business Services,561422,Telemarketing Bureaus and Other Contact Centers ,7/13/2012,FALSE
0015000000ac7G4AAI,4,6,EMEA,Consumer Products,551112,Offices of Other Holding Companies ,12/18/2015,FALSE
0015000000acAysAAE,2,1,EMEA,Government,312230,Tobacco Manufacturing ,12/16/2011,FALSE
0015000000acbHmAAI,3,6,North America,Healthcare,622110,General Medical and Surgical Hospitals ,12/30/2016,FALSE
0015000000acinqAAA,5,6,North America,Healthcare,524114,Direct Health and Medical Insurance Carriers ,11/1/2011,FALSE
0015000000acj06AAA,3,5,North America,Consumer Products,311351,Chocolate and Confectionery Manufacturing from Cacao Beans ,2/1/2013,FALSE
0015000000acKCnAAM,2,5,North America,Retail,448210,Shoe Stores ,6/17/2015,FALSE
0015000000acLqFAAU,2,4,EMEA,Professional & Business Services,551112,Offices of Other Holding Companies ,6/2/2020,FALSE
0015000000acP3XAAU,2,4,North America,Professional & Business Services,561499,All Other Business Support Services ,8/3/2011,FALSE
0015000000acRsTAAU,1,3,North America,Healthcare,622310,Specialty (except Psychiatric and Substance Abuse) Hospitals ,7/8/2011,FALSE
0015000000acssWAAQ,2,4,North America,Healthcare,622110,General Medical and Surgical Hospitals ,9/3/2020,FALSE
0015000000aeE1MAAU,6,6,North America,Life Sciences,424210,Drugs and Druggists' Sundries Merchant Wholesalers ,9/10/2012,FALSE
0015000000aeGkeAAE,1,3,North America,Manufacturing,333914,NA,9/19/2017,FALSE
0015000000aeGrbAAE,5,5,EMEA,Telecommunications,517911,Telecommunications Resellers ,4/16/2012,FALSE
0015000000aeHtGAAU,4,7,North America,Healthcare,621511,Medical Laboratories ,11/21/2012,FALSE
0015000000aeKVtAAM,6,6,North America,Life Sciences,424210,Drugs and Druggists' Sundries Merchant Wholesalers ,12/17/2009,FALSE
0015000000aeL5HAAU,1,4,North America,Banking,523930,Investment Advice ,2/24/2014,FALSE
0015000000aeLt6AAE,5,4,North America,Consumer Products,323111,Commercial Printing (except Screen and Books) ,3/1/2012,FALSE
0015000000aetfZAAQ,2,3,North America,Chemicals,325611,Soap and Other Detergent Manufacturing ,3/23/2016,FALSE
0015000000aeWkTAAU,1,1,North America,Engineering Construction & Operation,238310,Drywall and Insulation Contractors ,12/4/2019,FALSE
0015000000aexCPAAY,3,7,North America,Retail,441310,Automotive Parts and Accessories Stores ,8/1/2011,FALSE
0015000000aeXFRAA2,2,4,North America,Life Sciences,334510,Electromedical and Electrotherapeutic Apparatus Manufacturing ,4/11/2017,FALSE
0015000000afI3vAAE,4,5,North America,Healthcare,621491,HMO Medical Centers ,10/19/2011,FALSE
0015000000b4bfjAAA,2,5,North America,Healthcare,621999,All Other Miscellaneous Ambulatory Health Care Services ,4/30/2012,FALSE
0015000000b4jqdAAA,2,4,North America,Chemicals,325320,Pesticide and Other Agricultural Chemical Manufacturing,12/21/2015,FALSE
0015000000b4k9MAAQ,3,6,North America,Insurance,524210,Insurance Agencies and Brokerages ,9/8/2010,FALSE
0015000000b4ljKAAQ,2,6,EMEA,Travel & Transportation,488119,Other Airport Operations ,7/23/2013,FALSE
0015000000b4oxmAAA,2,4,EMEA,Banking,531210,Offices of Real Estate Agents and Brokers,8/27/2015,FALSE
0015000000b4pNoAAI,1,5,North America,Healthcare,621999,All Other Miscellaneous Ambulatory Health Care Services ,2/22/2008,FALSE
0015000000b4pRVAAY,2,6,North America,Consumer Products,316210,Footwear Manufacturing ,8/10/2011,FALSE
0015000000b4qeAAAQ,2,5,North America,Consumer Products,311710,Seafood Product Preparation and Packaging,9/8/2011,FALSE
0015000000b4TqxAAE,3,8,North America,Oil & Gas,333132,Oil and Gas Field Machinery and Equipment Manufacturing ,9/20/2011,FALSE
0015000000b4y6iAAA,5,8,North America,Consumer Products,311615,Poultry Processing ,5/30/2014,FALSE
0015000000b4Yv9AAE,2,5,North America,Education,611310,"Colleges, Universities, and Professional Schools ",1/11/2009,FALSE
0015000000b4Z9fAAE,3,6,APAC,Banking,522110,Commercial Banking ,6/20/2017,FALSE
0015000000b58hJAAQ,2,3,North America,Banking,522110,Commercial Banking ,8/19/2011,FALSE
0015000000b59soAAA,4,6,North America,Aerospace & Defense,336411,Aircraft Manufacturing ,11/14/2007,FALSE
0015000000b5CaZAAU,6,8,North America,Banking,522110,Commercial Banking ,8/9/2013,FALSE
0015000000b5dZxAAI,6,7,North America,Healthcare,524114,Direct Health and Medical Insurance Carriers ,9/14/2010,FALSE
0015000000b5eLbAAI,2,4,North America,Telecommunications,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,5/15/2018,FALSE
0015000000b5PbHAAU,5,5,North America,Engineering Construction & Operation,236117,New Housing For-Sale Builders ,12/2/2013,FALSE
0015000000b5RUwAAM,4,6,North America,Travel & Transportation,482111,Line-Haul Railroads ,11/8/2019,FALSE
0015000000b7b09AAA,2,4,EMEA,Media,561499,All Other Business Support Services ,2/22/2013,FALSE
0015000000b7dU0AAI,5,6,APAC,Professional & Business Services,551112,Offices of Other Holding Companies ,6/25/2018,FALSE
0015000000b7eaIAAQ,3,6,North America,Travel & Transportation,484121,"General Freight Trucking, Long-Distance, Truckload ",1/21/2019,FALSE
0015000000b7f3OAAQ,2,3,North America,Banking,531110,Lessors of Residential Buildings and Dwellings ,12/10/2015,FALSE
0015000000b7GYwAAM,6,8,APAC,High Tech,336320,Motor Vehicle Electrical and Electronic Equipment Manufacturing,12/9/2011,FALSE
0015000000b7InsAAE,2,5,North America,Banking,561450,Credit Bureaus,2/22/2012,FALSE
0015000000b7LD6AAM,1,4,North America,Healthcare,622110,General Medical and Surgical Hospitals ,5/18/2017,FALSE
0015000000b7nq7AAA,5,7,North America,Banking,522110,Commercial Banking ,11/16/2011,FALSE
0015000000b7qW0AAI,2,5,APAC,Retail,551112,Offices of Other Holding Companies ,9/29/2017,FALSE
0015000000b7SJyAAM,3,5,North America,Wholesale,424490,Other Grocery and Related Products Merchant Wholesalers ,12/15/2011,FALSE
0015000000b7VkKAAU,1,4,North America,High Tech,511210,Software Publishers,3/19/2018,FALSE
0015000000b7VNbAAM,3,2,North America,Government,921110,Executive Offices ,12/23/2016,FALSE
0015000000b7WspAAE,3,6,North America,Professional & Business Services,334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing ,11/4/2011,FALSE
0015000000b7YIgAAM,4,6,North America,Life Sciences,339112,Surgical and Medical Instrument Manufacturing ,7/10/2012,FALSE
0015000000b7yqOAAQ,1,2,North America,Insurance,525190,Other Insurance Funds ,9/30/2013,FALSE
0015000000b7yXsAAI,2,4,North America,Travel & Transportation,488510,Freight Transportation Arrangement ,6/20/2017,FALSE
0015000000b7zc3AAA,2,4,North America,Telecommunications,334210,Telephone Apparatus Manufacturing,12/18/2014,FALSE
0015000000b7ZJaAAM,3,5,North America,Retail,451120,"Hobby, Toy, and Game Stores ",6/29/2012,FALSE
0015000000b801BAAQ,4,6,North America,Consumer Products,325611,Soap and Other Detergent Manufacturing ,5/18/2016,FALSE
0015000000b8A5MAAU,1,1,North America,Banking,522298,All Other Nondepository Credit Intermediation ,9/28/2011,FALSE
0015000000b8af6AAA,4,6,North America,High Tech,511210,Software Publishers,12/8/2011,FALSE
0015000000b8C2AAAU,1,1,North America,Healthcare,611310,"Colleges, Universities, and Professional Schools ",7/27/2007,FALSE
0015000000b8FMSAA2,5,3,North America,Professional & Business Services,561311,Employment Placement Agencies ,7/16/2015,FALSE
0015000000b8HOqAAM,1,1,EMEA,Non-Profits,561499,All Other Business Support Services ,2/25/2014,FALSE
0015000000b8HPPAA2,3,6,EMEA,Government,921190,Other General Government Support ,7/25/2011,FALSE
0015000000b8N0RAAU,5,7,North America,Telecommunications,515210,Cable and Other Subscription Programming,11/2/2007,FALSE
0015000000b8SfSAAU,4,7,North America,Media,541810,Advertising Agencies,10/29/2008,FALSE
0015000000bov2oAAA,3,5,North America,High Tech,334112,Computer Storage Device Manufacturing ,3/30/2018,FALSE
0015000000bp7scAAA,4,6,North America,Automotive,336390,Other Motor Vehicle Parts Manufacturing,12/22/2015,FALSE
0015000000bp8iHAAQ,4,5,North America,Wholesale,424490,Other Grocery and Related Products Merchant Wholesalers ,9/18/2019,FALSE
0015000000bpaGPAAY,2,4,North America,Utilities,221118,Other Electric Power Generation ,6/16/2020,FALSE
0015000000bpBxqAAE,1,3,North America,Healthcare,621112,"Offices of Physicians, Mental Health Specialists ",9/30/2011,FALSE
0015000000bpeHaAAI,5,5,North America,Insurance,524126,Direct Property and Casualty Insurance Carriers ,9/28/2009,FALSE
0015000000bpEZkAAM,6,8,EMEA,Telecommunications,517911,Telecommunications Resellers ,10/6/2011,FALSE
0015000000bpFfbAAE,4,3,North America,Insurance,524113,Direct Life Insurance Carriers ,3/29/2021,FALSE
0015000000bpGxUAAU,1,3,North America,Hospitality,561520,Tour Operators,3/11/2013,FALSE
0015000000bpiBHAAY,3,6,North America,Consumer Products,315220,Men<92>s and Boys<92> Cut and Sew Apparel Manufacturing ,5/9/2014,FALSE
0015000000bpN65AAE,6,8,North America,Government,921110,Executive Offices ,2/19/2014,FALSE
0015000000bpnogAAA,1,2,North America,Banking,522310,Mortgage and Nonmortgage Loan Brokers ,6/30/2016,FALSE
0015000000bpYeYAAU,1,2,North America,Consumer Products,311999,All Other Miscellaneous Food Manufacturing ,3/20/2019,FALSE
0015000000bpzdDAAQ,6,7,North America,Healthcare,524114,Direct Health and Medical Insurance Carriers ,11/3/2011,FALSE
0015000000bqktjAAA,5,6,North America,Utilities,221118,Other Electric Power Generation ,10/1/2010,FALSE
0015000000bqOLRAA2,2,5,North America,Life Sciences,339113,Surgical Appliance and Supplies Manufacturing ,3/24/2014,FALSE
0015000000bqr6iAAA,1,5,APAC,Hospitality,713120,Amusement Arcades,6/30/2016,FALSE
0015000000bqrPkAAI,2,5,North America,Education,611310,"Colleges, Universities, and Professional Schools ",2/25/2008,FALSE
0015000000bqTvTAAU,5,6,North America,Insurance,524210,Insurance Agencies and Brokerages ,3/10/2009,FALSE
0015000000bqVGhAAM,2,2,North America,Healthcare,524114,Direct Health and Medical Insurance Carriers ,12/18/2015,FALSE
0015000000bqXvOAAU,3,8,North America,Hospitality,722511,Full-Service Restaurants ,5/14/2012,FALSE
0015000000bsgHnAAI,2,4,North America,High Tech,334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing ,6/30/2015,FALSE
0015000000cI6UTAA0,3,6,North America,Healthcare,541512,Computer Systems Design Services ,5/1/2017,FALSE
0015000000cI9U1AAK,1,3,North America,High Tech,511210,Software Publishers,9/29/2014,FALSE
0015000000cIayYAAS,4,7,North America,Professional & Business Services,517919,All Other Telecommunications ,2/25/2015,FALSE
0015000000cIE0AAAW,4,6,North America,Travel & Transportation,481111,Scheduled Passenger Air Transportation ,1/6/2011,FALSE
0015000000cIgH7AAK,4,5,North America,Engineering Construction & Operation,236117,New Housing For-Sale Builders ,3/17/2017,FALSE
0015000000cIHtbAAG,5,7,North America,Manufacturing,333120,Construction Machinery Manufacturing,3/15/2013,FALSE
0015000000cIIneAAG,5,6,North America,Automotive,336120,Heavy Duty Truck Manufacturing,12/6/2012,FALSE
0015000000cIl7xAAC,2,3,North America,Consumer Products,424320,Men's and Boys' Clothing and Furnishings Merchant Wholesalers ,1/15/2014,FALSE
0015000000cIlUDAA0,2,3,North America,Banking,523210,Securities and Commodity Exchanges,11/30/2012,FALSE
0015000000cIxgUAAS,5,7,North America,Consumer Products,335220,NA,3/7/2012,FALSE
0015000000cJ0rbAAC,4,7,North America,Manufacturing,441320,Tire Dealers ,12/3/2012,FALSE
0015000000cJ357AAC,2,5,North America,High Tech,511210,Software Publishers,7/16/2013,FALSE
0015000000cJNIgAAO,2,4,North America,Professional & Business Services,541611,Administrative Management and General Management Consulting Services ,5/16/2012,FALSE
0015000000cJT3cAAG,2,5,North America,Healthcare,622110,General Medical and Surgical Hospitals ,12/21/2011,FALSE
0015000000cJT7rAAG,5,7,North America,Retail,447190,Other Gasoline Stations ,7/2/2012,FALSE
0015000000cJtOUAA0,1,2,North America,Media,511210,Software Publishers,9/25/2012,FALSE
